Year1,Year,Date,,Version,RELEASE,Changes,By,,Type,General,General Category
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #658: Iterables can now be used as data points,,Theories,Iterables can now be used as data points,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #566: Enables inheritance on Category by adding @Inherited,,Categories,Enables inheritance on Category by adding @Inherited,Change implementation,Code redesign
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #503: Configurable Categories,,Categories,Configurable Categories,Add functionality,Add support for a new feature
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,[Pull request #879:] (#879) Add the default 'Implementation-*' headers to the manifest,,Use with Maven,Add the default 'Implementation-*' headers to the manifest,Code refactoring,Maintainability improvement
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #511: Maven project junit:junit:jar,,Use with Maven,Maven project junit:junit:jar,Maven ,Support for external development tool
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #776: Add support for Travis CI,,Miscellaneous,,Travis CI,Support for external development tool
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #921: Apply Google Code Style,,Miscellaneous,Apply Google Code Style,Stylistic improvement,Maintainability improvement
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #939 Renamed license file,,Miscellaneous,Renamed license file,Fix integration with external development tool,Bug fix
+8 years,2014,04/12/2014,4.12.,4.12,MINOR,Pull request #962: Do not include thread start time in test timeout measurements.,,Miscellaneous,Do not include thread start time in test timeout measurements.,Code refinement,Performance improvement
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,,,,,,
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,Matchers: Upgrade to Hamcrest 1.3,,,Upgrade to Hamcrest 1.3,Add functionality,Add support for a new feature
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,Parameterized Tests,,,,Add functionality,Add support for a new feature
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,Test execution order,,,"From now on, JUnit will by default use a deterministic, but not predictable, order (MethodSorters.DEFAULT).",Change implementation,Code redesign
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,Maven artifacts,,,use junit:junit which will be what junit:junit-dep used to,Change implementation,Code redesign
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,MethodRule is no longer deprecated.,,Rules,Remove deprecation,Change implementation,Code redesign
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,Both @Rule and @ClassRule can now be used on methods that return a TestRule.,,Rules,,Change implementation,Code redesign
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,ExpectedException now always prints the stacktrace of the actual exception in case of failure.,,Rules,Improve exception message ,Code refactoring,Maintainability improvement
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,"A parent folder can be specified for TemporaryFolder. In addition, the newFile/newFolder methods will now fail when the file or folder could not be created.",,Rules,,Add functionality,Add support for a new feature
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,TestWatcher has a new template method called skipped that is invoked when a test is skipped due to a failed assumption.,,Rules,,Add method,Add support for a new feature
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,assertNotEquals has been added to Assert.,,Improvements to Assert and Assume,,Add method,Add support for a new feature
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,assertEquals has been overloaded in order to check whether two floats are equal given a certain float delta.,,Improvements to Assert and Assume,assertEquals has been overloaded in order to check whether two floats are equal given a certain float delta.,Add method,Add support for a new feature
+6 years,2012,14/11/2012,4.11.,4.11,MINOR,Most methods in Assume now allow to pass a custom message.,,Improvements to Assert and Assume,Most methods in Assume now allow to pass a custom message.,Add functionality,Add support for a new feature
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,,,,,,
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,junit-dep has correct contents,,,,Fix integration with external development tool,Bug fix
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,RuleChain,,,,Add functionality,Add support for a new feature
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"TemporaryFolder#newFolder(String... folderNames) creates recursively deep temporary folders [@rodolfoliviero, closing gh-283]",,,creates recursively deep temporary folders,Change implementation,Code redesign
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"TemporaryFolder#newFile() creates a randomly named new file, and #newFolder() creates a randomly named new folder [@Daniel Rothmaler, closing gh-299]",,,"creates a randomly named new file, and #newFolder() creates a randomly named new folder",Change implementation,Code redesign
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"The Theories runner does not anticipate theory parameters that have generic types, as reported by github#64.",,,,Fix wrong implementation,Bug fix
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"TemporaryFolder should not create files in the current working directory if applying the rule fails [@orfjackal, fixing gh-278]",,Built-in Rules implementations,,Fix wrong implementation,Bug fix
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"TestWatcher and TestWatchman should not call failed for AssumptionViolatedExceptions [@stefanbirkner, fixing gh-296]",,Built-in Rules implementations,,Fix wrong implementation,Bug fix
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"Assert documentation [@stefanbirkner, fixing gh-134]",,Javadoc bugs,,Fix documentation,Documentation
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"ClassRule [@stefanbirkner, fixing gh-254]",,Javadoc bugs,,Fix documentation,Documentation
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"Parameterized [@stefanbirkner, fixing gh-89]",,Javadoc bugs,,Fix documentation,Documentation
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"Parameterized, again [@orfjackal, fixing gh-285]",,Javadoc bugs,,Fix documentation,Documentation
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"Useless code in RunAfters [@stefanbirkner, fixing gh-289]",,Miscellaneous,Remove redundant method call,Code refinement,Performance improvement
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"Parameterized test classes should be able to have @Category annotations [@dsaff, fixing gh-291]",,Miscellaneous,,Fix wrong implementation,Bug fix
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"Error count should be initialized in junit.tests.framework.TestListenerTest [@stefanbirkner, fixing gh-225]",,Miscellaneous,,Fix wrong implementation,Bug fix
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"AssertionFailedError constructor shouldn't call super with null message [@stefanbirkner, fixing gh-318]",,Miscellaneous,,Fix wrong implementation,Bug fix
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"Clearer error message for non-static inner test classes [@stefanbirkner, fixing gh-42]",,Miscellaneous,,Fix exception message,Bug fix
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"Description, Result and Failure are Serializable [@ephox-rob, closing gh-101]",,Minor changes,Make classes implement Serializable,Change implementation,Code redesign
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"FailOnTimeout is reusable, allowing for retrying Rules [@stefanbirkner, closing gh-265]",,Minor changes,Fix test outcome,Fix wrong implementation,Bug fix
+5 years,2011,29/09/2011,4.10.,4.10,MINOR,"New ErrorCollector.checkThat overload, that allows you to specify a reason [@drothmaler, closing gh-300]",,Minor changes,,Add method,Add support for a new feature
+5 years,2011,22/08/2011,4.9,4.9,MINOR,,,,,,
+5 years,2011,22/08/2011,4.9,4.9,MINOR,ClassRule,,,,Add functionality,Add support for a new feature
+5 years,2011,22/08/2011,4.9,4.9,MINOR,"In JUnit 4.9, fields that can be annotated with either @Rule or @ClassRule should be of type TestRule.",,TestRule,,Change implementation,Code redesign
+5 years,2011,22/08/2011,4.9,4.9,MINOR,-,,,,Deprecate method,Deprecate functionality
+5 years,2011,22/08/2011,4.9,4.9,MINOR,"Maven bundles have, in the past, been uploaded by kind volunteers. Starting with this release, the JUnit team is attempting to perform this task ourselves.",,Maven support,"Maven bundles have, in the past, been uploaded by kind volunteers. Starting with this release, the JUnit team is attempting to perform this task ourselves.",Change implementation,Code redesign
+5 years,2011,22/08/2011,4.9,4.9,MINOR,The Common Public License that JUnit is released under is now included in the source repository.,,LICENSE checked in,The Common Public License that JUnit is released under is now included in the source repository.,Change implementation,Code redesign
+5 years,2011,22/08/2011,4.9,4.9,MINOR,github#98: assumeTrue() does not work with expected exceptions,,Bug fixes,,Fix wrong implementation,Bug fix
+5 years,2011,22/08/2011,4.9,4.9,MINOR,github#74: Categories + Parameterized,,Bug fixes,,Fix wrong implementation,Bug fix
+5 years,2011,22/08/2011,4.9,4.9,MINOR,github#38: ParentRunner filters more than once,,Bug fixes,,Fix wrong implementation,Bug fix
+5 years,2011,22/08/2011,4.9,4.9,MINOR,github#248: protected BlockJUnit4ClassRunner#rules method removed from 4.8.2,,Bug fixes,,Fix wrong implementation,Bug fix
+5 years,2011,22/08/2011,4.9,4.9,MINOR,github#187: Accidental dependency on Java 6,,Bug fixes,Adapt to newer Java version,Fix regression,Bug fix
