Year,Date,,Version,Release,Changes,By,,Type,General,General Category,,
2020,12/07/2020,3.11.,3.11,MINOR,Use Collections.singletonList insteadof Arrays.asList when there be only one element. #549. Fixes LANG-1564. Thanks to XenoAmess.,ggregory,,Use immutable list to use less memory,Use better data structure for storing objects,Memory improvement,,Run-time
2020,12/07/2020,3.11.,3.11,MINOR,Refine Javadoc #545. Fixes LANG-1560. Thanks to XenoAmess.,ggregory,JavaDoc,Refine JavaDoc,Refine documentation,Documentation,,
2020,12/07/2020,3.11.,3.11,MINOR,Change array style from `int a[]` to `int[] a` #537. Fixes LANG-1553. Thanks to XenoAmess.,ggregory,,Change declaration style ,Stylistic improvement,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,Change from addAll to constructors for some List #536. Fixes LANG-1552. Thanks to XenoAmess.,ggregory,,addAll vs constructors,Code refinement,Performance improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,Fix typos #539. Fixes LANG-1554. Thanks to XenoAmess.,ggregory,,Fix typo,Stylistic improvement,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,"Ignored exception `ignored`, should not be called so #540. Fixes LANG-1555. Thanks to XenoAmess.",ggregory,exception,,Stylistic improvement,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,Simplify if as some conditions are covered by others #543. Fixes LANG-1558. Thanks to XenoAmess.,ggregory,,Simplify if-statements,Code simplification,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,StringUtils.replaceEachRepeatedly gives IllegalStateException #505. Fixes LANG-1528. Thanks to Edwin Delgado H.,ggregory,exception,IllegalStateException,Handle exception,Bug fix,Corrective,
2020,12/07/2020,3.11.,3.11,MINOR,Add JavaVersion enum constants for Java 14 and 15. #553. Fixes LANG-1570. Thanks to Edgar Asatryan.,ggregory,,Adapt to newer Java version,Add constants/variables,Add support for a new feature,,
2020,12/07/2020,3.11.,3.11,MINOR,Add JavaVersion enum constants for Java 16. Thanks to Gary Gregory.,ggregory,,Adapt to newer Java version,Add constants/variables,Add support for a new feature,,
2020,12/07/2020,3.11.,3.11,MINOR,Use Java 8 lambdas and Map operations. Fixes LANG-1556. Thanks to XenoAmess.,ggregory,,Adapt to newer Java version,Code refactoring,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,Change removeLastFieldSeparator to use endsWith #550. Fixes LANG-1565. Thanks to XenoAmess.,ggregory,,Change implementation,Code refactoring,Maintainability improvement,,
2020,12/07/2020,3.11.,3.11,MINOR,"Change a Pattern to a static final field, for not letting it compile each time the function invoked. #542. Fixes LANG-1557. Thanks to XenoAmess, Gary Gregory.",ggregory,,,Add constants/variables,Add support for a new feature,,
2020,12/07/2020,3.11.,3.11,MINOR,Add ImmutablePair factory methods left() and right().,ggregory,,,Add method,Add support for a new feature,,
2020,12/07/2020,3.11.,3.11,MINOR,"Add ObjectUtils.toString(Object, Supplier<String>).",ggregory,,,Add method,Add support for a new feature,,
2020,12/07/2020,3.11.,3.11,MINOR,"Fixed Javadocs for setTestRecursive() #556. Fixes LANG-1567. Thanks to Miguel Muñoz, Bruno P. Kinoshita, Gary Gregory.",ggregory,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2020,12/07/2020,3.11.,3.11,MINOR,"ToStringBuilder.reflectionToString - Wrong JSON format when object has a List of Enum. Fixes LANG-1542. Thanks to Trần Ngọc Khoa, Gary Gregory.",ggregory,,Wrong JSON format when object has a List of Enum,Fix wrong implementation,Bug fix,Corrective,
2020,12/07/2020,3.11.,3.11,MINOR,"[JSON string for maps] ToStringBuilder.reflectionToString doesnt render nested maps correctly. Fixes LANG-1543. Thanks to Swaraj Pal, Wander Costa, Gary Gregory.",ggregory,,reflectionToString doesnt render nested maps correctly,Fix wrong implementation,Bug fix,Corrective,
2020,12/07/2020,3.11.,3.11,MINOR,Make org.apache.commons.lang3.CharSequenceUtils.toCharArray(CharSequence) public.,ggregory,,Make method public,Change access modifier,Code redesign,,
2020,12/07/2020,3.11.,3.11,MINOR,"Add org.apache.commons.lang3.StringUtils.substringAfter(String, int).",ggregory,,,Add method,Add support for a new feature,,
2020,12/07/2020,3.11.,3.11,MINOR,"Add org.apache.commons.lang3.StringUtils.substringAfterLast(String, int).",ggregory,,,Add method,Add support for a new feature,,
