Year1;Year;Date; ;Version;RELEASE;Changes;By; ;Type;General;General Category;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Fix PathUtils.copyFileToDirectory(URL,Path,CopyOption[]). Thanks to Gary Gregory.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;FileUtils.doCopyFile uses different methods to check the file sizes. Fixes IO-386. Thanks to Sebb, Bernd Eckenfels, zhipengxu, Gary Gregory.;ggregory;;;Fix inconsistency;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Fix typos #375. Thanks to Michael Ernst.;ggregory;;Fix typos;Stylistic improvement;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;FilenameUtils.normalize javadoc and tests #383. Fixes IO-611. Thanks to Fedor Urvanov.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Better docs in IOUtils and IOUtils.byteArray(int size) #374. Fixes IO-611. Thanks to ArdenL-Liu, Bruno P. Kinoshita, Gary Gregory.;ggregory;;;Improve documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;SequenceReader should close readers when its close method is called #391. Fixes IO-782. Thanks to Matteo Di Giovinazzo, Gary Gregory.;ggregory;;SequenceReader should close readers when its close method is called;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Fix symbolic link file filter #450. Fixes IO-790. Thanks to Miguel Muñoz, Gary Gregory.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Apply nanoseconds precision for QueueInputStream timeout duration. #453. Fixes IO-790. Thanks to maxxedev, Gary Gregory, Bruno P. Kinoshita.;ggregory;;Apply nanoseconds precision for timeout duration;Change implementation;Code redesign;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;Improve JavaDoc;Improve documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Fix overflow for FileUtilsTest constants #456. Thanks to Marcono1234.;ggregory;;;Fix overflow;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Serialization is deprecated and will be removed in 3.0. Thanks to Gary Gregory.;ggregory;;Serialization is deprecated and will be removed in 3.0;Change implementation;Code redesign;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;FileSystemUtils.performCommand(String[], int, Duration): Use Locale.getDefault() instead of ENGLISH. Thanks to Gary Gregory.;ggregory;;Use Locale.getDefault() instead of ENGLISH;Change implementation;Code redesign;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add GitHub coverage.yml. Thanks to Gary Gregory.;ggregory;;;GitHub coverage;Support for external development tool;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add MemoryMappedFileInputStream #215. Fixes IO-726. Thanks to shollander, Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add BrokenReader.INSTANCE. Thanks to Gary Gregory.;ggregory;;;Add constants/variables;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add UncheckedBufferedReader. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add UncheckedFilterReader. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add UncheckedFilterWriter. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add UncheckedFilterInputStream. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add UncheckedFilterOutputStream. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add BrokenInputStream.INSTANCE. Thanks to Gary Gregory.;ggregory;;;Add constants/variables;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add ClosedInputStream.INSTANCE and deprecate CLOSED_INPUT_STREAM. Thanks to Gary Gregory.;ggregory;;;Add constants/variables;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;;Deprecate constant;Deprecate functionality;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add ClosedReader.INSTANCE and deprecate CLOSED_READER. Thanks to Gary Gregory.;ggregory;;;Add constants/variables;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;;Deprecate constant;Deprecate functionality;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add BrokenWriter.INSTANCE. Thanks to Gary Gregory.;ggregory;;;Add constants/variables;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add ClosedOutputStream.INSTANCE and deprecate CLOSED_OUTPUT_STREAM. Thanks to Gary Gregory.;ggregory;;;Add constants/variables;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;;Deprecate constant;Deprecate functionality;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add ClosedWriter.INSTANCE and deprecate CLOSED_WRITER. Thanks to Gary Gregory.;ggregory;;;Add constants/variables;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;;Deprecate constant;Deprecate functionality;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add NullOutputStream.INSTANCE and deprecate NULL_OUTPUT_STREAM. Thanks to Gary Gregory.;ggregory;;;Add constants/variables;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;;Deprecate constant;Deprecate functionality;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add NullPrintStream.INSTANCE and deprecate NULL_PRINT_STREAM. Thanks to Gary Gregory.;ggregory;;;Add constants/variables;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;;Deprecate constant;Deprecate functionality;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Add NullWriter.INSTANCE and deprecate NULL_WRITER. Thanks to Gary Gregory.;ggregory;;;Add constants/variables;Add support for a new feature;;;;;;;;;;;;;;;;;;;
